genome	raw_socre	group	LDA_socre	pvalue
MAG-55	4.335197167			-
MAG-244	4.479674912			-
MAG-195	3.828448837	CK	3.445363475	0.029923147
MAG-226	3.682804929	Cr	3.443084575	0.029588571
MAG-258	3.132710706	CK	2.902094202	0.035611598
MAG-259	3.106030063			-
MAG-250	3.353462789	Cr	3.072926881	0.004629712
MAG-81	3.889739013			-
MAG-82	4.673590218	Ni	4.262811615	0.012719413
MAG-83	4.102052061			-
MAG-84	3.132891246			-
MAG-85	3.22697888			-
MAG-256	3.397948457			-
MAG-257	3.004637807			-
MAG-223	3.386314469	Cd	3.156541301	0.045168333
MAG-126	3.390213614			-
MAG-127	3.483710333	CK	3.150714734	0.010769851
MAG-124	3.274394507	CK	2.914418188	0.042359924
MAG-125	3.479529133			-
MAG-122	3.386043694			-
MAG-123	4.284141813	Cd	3.921960303	0.017894989
MAG-120	3.387974849			-
MAG-121	4.061027577			-
MAG-128	3.32154119	Cd	3.150639277	0.008020068
MAG-129	3.527023352	Cd	3.20374258	0.022713741
MAG-184	3.249686137			-
MAG-96	4.108796184			-
MAG-95	3.72253696			-
MAG-94	3.985918437	Cr	3.74518064	0.012630415
MAG-93	3.425979778	Cr	3.399255627	0.009989562
MAG-260	3.461827866	CK	3.100717906	0.04374971
MAG-91	3.32926994	CK	3.078093876	0.031618963
MAG-90	3.365503007	Cd	3.135411126	0.024859446
MAG-18	4.085366807			-
MAG-99	3.958984258	Ni	3.564294378	0.0272764
MAG-98	3.331969749	CK	3.226902753	0.011585504
MAG-44	4.400197061	CK	4.021342585	0.00747779
MAG-19	3.440254328			-
MAG-89	4.255386275			-
MAG-17	3.154230209	Cr	2.952479132	0.00869302
MAG-16	3.393912111	Ni	3.0579766	0.00927036
MAG-15	3.391305167	Ni	3.163772784	0.025691824
MAG-14	3.486850648			-
MAG-13	3.402594653	CK	3.084023516	0.011350238
MAG-12	3.579057573	CK	3.313624745	0.013300955
MAG-11	3.487154846			-
MAG-10	4.105936833			-
MAG-153	3.268230136	CK	3.085364393	0.005502605
MAG-152	3.533529089	Cr	3.235432231	0.009113808
MAG-151	4.184370549			-
MAG-150	4.404738135			-
MAG-157	3.893834002			-
MAG-156	3.611488754	Ni	3.350220011	0.003246547
MAG-155	3.377701404	CK	3.227236183	0.03357473
MAG-154	4.68675836	Cd	4.201137342	0.021642205
MAG-47	3.083845431			-
MAG-210	3.312088808			-
MAG-159	3.276359585			-
MAG-158	3.310704652			-
MAG-220	3.74066007			-
MAG-211	4.715550903	Ni	4.375072133	0.005612098
MAG-42	4.041164299			-
MAG-182	3.409804964	Cr	3.068717168	0.024072761
MAG-222	3.666223432	CK	3.208795255	0.04124517
MAG-43	3.16929393	CK	2.94939584	0.027689267
MAG-80	3.230330714	CK	2.941816692	0.02398698
MAG-251	4.122197411	CK	3.726767467	0.01666838
MAG-252	4.251558643	Cr	3.939124615	0.003213935
MAG-51	3.624802365			-
MAG-183	3.797556939	Cr	3.474996089	0.013139656
MAG-68	3.720483514	CK	3.366183083	0.010605353
MAG-253	3.511493728			-
MAG-62	3.180992997			-
MAG-254	3.808534838	Cr	3.620072076	0.04104039
MAG-60	4.217301807	CK	3.864472089	0.017047324
MAG-61	3.632090012			-
MAG-66	3.691806035			-
MAG-67	3.30769564	CK	2.977101543	0.009819317
MAG-64	3.408991907	Cr	3.147859019	0.016552325
MAG-255	3.285846642	Cr	3.009297495	0.022612376
MAG-140	3.718972908			-
MAG-141	3.464011222			-
MAG-142	4.656680786	CK	4.333290339	0.013746098
MAG-143	3.736217293	CK	3.437252386	0.045648399
MAG-144	3.990100981	Cr	3.638889046	0.005699841
MAG-86	3.501382361			-
MAG-146	3.431224586	CK	3.213955703	0.008390523
MAG-147	3.450399429	CK	3.143526478	0.00706118
MAG-148	3.488707202			-
MAG-149	3.754519142	Cd	3.470625759	0.00989599
MAG-87	3.807940786			-
MAG-215	3.713415918	Cr	3.352193304	0.008279224
MAG-224	3.820943366			-
MAG-196	4.127697769			-
MAG-207	3.295123067	Cd	3.117152951	0.022614506
MAG-206	3.755951399			-
MAG-205	3.22599215	CK	3.003119088	0.049628362
MAG-204	3.480731842			-
MAG-203	4.061121595			-
MAG-202	3.336694356	CK	2.991825219	0.029280674
MAG-201	3.616394394			-
MAG-200	3.686824172	CK	3.26822521	0.038090811
MAG-216	3.104993046			-
MAG-197	3.840530102			-
MAG-209	3.673509579			-
MAG-208	3.827602455	Cd	3.553586172	0.013908236
MAG-79	3.477862379	Cr	3.11596265	0.020880625
MAG-78	3.368679641	CK	3.115238208	0.021541926
MAG-169	4.125637215	Cd	3.857855973	0.041063432
MAG-71	3.309145963	CK	3.010570079	0.016519133
MAG-70	3.381089014			-
MAG-73	3.43439415	Ni	3.225451526	0.008711016
MAG-72	3.210159155	Cr	3.304349231	0.009078195
MAG-75	3.693487342	CK	3.503470558	0.033201768
MAG-74	3.911110294	Cr	3.582916624	0.009998931
MAG-77	3.420024151	Cr	3.21842039	0.008459649
MAG-76	3.588539127	Cr	3.151607097	0.043411515
MAG-145	4.395460794			-
MAG-179	4.244280167	Ni	3.802927434	0.019089954
MAG-178	3.632696408			-
MAG-175	3.792208008	Cd	3.443890624	0.028799641
MAG-174	3.99004314			-
MAG-177	3.594013823	CK	3.24012232	0.011768362
MAG-176	3.729644915	CK	3.370519454	0.011299013
MAG-171	3.666517773			-
MAG-170	3.645984571	Cr	3.3539608	0.005495509
MAG-173	3.194819351			-
MAG-172	3.703421806	Cd	3.400669024	0.007457412
MAG-119	3.375224096	CK	3.005808721	0.011621484
MAG-118	3.489103321			-
MAG-117	3.30753984	CK	3.048934964	0.015042838
MAG-116	3.604742891			-
MAG-115	3.796854012	Ni	3.453399549	0.008655986
MAG-114	3.463573798	Ni	3.163601351	0.017766843
MAG-113	3.636941104	Cr	3.374249619	0.005371498
MAG-112	4.319757441			-
MAG-111	4.417069042			-
MAG-110	3.469060276			-
MAG-214	3.751113335			-
MAG-45	3.280264525			-
MAG-46	4.413161726			-
MAG-194	4.201386691	Cd	3.870614738	0.009223744
MAG-40	3.379317098			-
MAG-41	4.852192063			-
MAG-191	3.27955395	Cr	3.266018996	0.023942071
MAG-190	4.208680306			-
MAG-237	4.203419466	CK	3.834481075	0.048081936
MAG-218	3.393084777			-
MAG-219	5.019867496			-
MAG-199	3.674423828			-
MAG-198	3.10408309			-
MAG-193	4.022087077	Ni	3.783402075	0.032996096
MAG-5	3.463312814	CK	3.138205373	0.049360703
MAG-7	3.536156643	CK	3.165409991	0.032908333
MAG-6	4.293893075	CK	3.92459004	0.032329369
MAG-168	3.215568291	CK	3.098400117	0.04369497
MAG-4	3.216016957			-
MAG-3	3.34973544	CK	3.021836558	0.027140632
MAG-2	3.61079839			-
MAG-1	4.564365772	Cr	4.259691608	0.01110643
MAG-162	4.412761135			-
MAG-163	4.275104207	Cd	4.047613661	0.0099267
MAG-160	3.695924816	CK	3.348440065	0.029579032
MAG-161	3.793487819	Cr	3.508141594	0.033646724
MAG-166	4.870098393	Cd	4.535789358	0.012673545
MAG-167	3.503003682			-
MAG-9	3.12609465			-
MAG-8	3.281220355			-
MAG-88	4.467363243			-
MAG-108	4.247890738			-
MAG-109	4.447996061	Cd	4.13826934	0.040990956
MAG-104	4.167696862	Ni	3.946496983	0.016608523
MAG-105	4.026193712	Cd	3.747356319	0.03676566
MAG-106	3.23121716			-
MAG-107	3.544844554	Ni	3.251923839	0.005038801
MAG-100	3.853908347			-
MAG-101	4.052142796			-
MAG-102	4.041525313	Cr	3.690928166	0.024748695
MAG-103	3.270726963			-
MAG-221	3.469656391			-
MAG-185	3.346452186			-
MAG-186	3.353643882	CK	3.120364709	0.006238434
MAG-50	4.656346439			-
MAG-225	3.401510946	CK	3.116046985	0.034800201
MAG-56	4.018115539	Ni	3.702561715	0.013908236
MAG-227	3.120930397	Cd	3.067943105	0.006331773
MAG-54	4.719871925			-
MAG-229	3.510685104			-
MAG-228	4.150094398	Cd	3.733921039	0.021315258
MAG-59	3.037229215			-
MAG-58	3.736886919	Ni	3.417809565	0.01162032
MAG-188	3.745027824	Cr	3.416162511	0.046582455
MAG-189	4.442286286	Ni	4.102181403	0.00764976
MAG-49	3.113733887			-
MAG-213	3.363871776			-
MAG-164	4.498715362	Ni	4.274203341	0.008687479
MAG-65	3.644052835			-
MAG-165	4.529182042			-
MAG-69	3.316163803			-
MAG-139	4.252563888			-
MAG-138	3.599086907			-
MAG-48	3.427706069	Cr	3.218801012	0.044811516
MAG-264	3.222551966			-
MAG-131	3.573372594			-
MAG-130	3.470142557	CK	3.095375291	0.022092394
MAG-133	3.532021111			-
MAG-132	3.7997565	Cr	3.2988694	0.045769189
MAG-135	3.43229431			-
MAG-134	3.972432937			-
MAG-137	4.371965466			-
MAG-136	4.685425452			-
MAG-238	3.405335662	CK	3.070801948	0.046258506
MAG-239	3.541774764	Ni	3.209498133	0.020055281
MAG-236	3.601565012			-
MAG-261	3.349244775	Ni	3.041557506	0.042539488
MAG-234	3.478574023	Ni	3.214936609	0.014238182
MAG-235	4.433076948			-
MAG-232	4.019580684	Cd	3.504962356	0.046623485
MAG-233	3.476049921	Cr	3.081102984	0.029421519
MAG-230	3.574594995	Ni	3.196275697	0.005758208
MAG-92	3.504870068	Cd	3.144557825	0.036928808
MAG-26	4.177513275	Ni	3.754578497	0.031841707
MAG-27	3.582069127			-
MAG-24	4.204397684	Cd	3.910179248	0.007726659
MAG-25	4.370168082	Ni	4.085531135	0.007897099
MAG-22	3.20003194	Cr	3.189443108	0.043255868
MAG-263	4.831025791	Ni	4.506867789	0.004372937
MAG-20	3.970155518	Cd	3.7125901	0.034861969
MAG-21	3.391282657			-
MAG-262	3.937103412	Cr	3.480134201	0.013306752
MAG-28	4.260848651			-
MAG-29	3.495629457	Cr	3.169308986	0.017814792
MAG-53	3.159911842	Cd	3.010695199	0.037612067
MAG-231	4.234910456	Cd	4.006723278	0.040130914
MAG-212	3.343002561	Cd	3.063303333	0.041063432
MAG-192	4.498541537			-
MAG-52	3.710848271	Cr	3.39713036	0.003864458
MAG-249	4.031398432			-
MAG-248	3.674560376	Cd	3.417071035	0.009107327
MAG-243	3.12599876	Cr	3.150247876	0.004748161
MAG-242	3.785873016			-
MAG-241	3.696584947			-
MAG-240	3.328160886			-
MAG-247	3.484383153	Cd	3.243810167	0.031606158
MAG-246	3.24156308	Cd	3.036736526	0.006762731
MAG-245	3.760718763	Ni	3.335150938	0.011950629
MAG-23	3.696066984	Cd	3.455840969	0.013354876
MAG-35	3.340654423	CK	3.091615036	0.004208027
MAG-34	3.867847221	Cr	3.539435937	0.014059573
MAG-37	3.423893916	Cd	3.156277229	0.006927472
MAG-36	4.520236585	Ni	4.211540738	0.011526121
MAG-31	3.50077565			-
MAG-30	3.291587265			-
MAG-33	3.503322193	Cd	3.181961946	0.017680587
MAG-32	3.514543152			-
MAG-39	3.620361169			-
MAG-38	4.160616969	Cd	3.684050573	0.008585539
MAG-187	3.220310758	Cd	3.185033008	0.003315564
MAG-180	4.752857378			-
MAG-63	3.333667366			-
MAG-57	3.846318236	Cd	3.528991519	0.010228012
MAG-217	4.359288268			-
MAG-181	3.667463382			-
