genome	degree	transitivity	betweeness	closeness
MAG-1	15	0.419047619	959.6919396	5.59E-04
MAG-10	5	1	0	4.48E-05
MAG-101	8	1	0	5.03E-04
MAG-102	3	0.666666667	1.10952381	5.10E-04
MAG-104	6	0.733333333	2	4.48E-05
MAG-105	16	0.533333333	91.7538547	5.52E-04
MAG-106	1		0	4.42E-04
MAG-107	6	0.333333333	224.975752	5.42E-04
MAG-108	11	0.745454545	70.59983437	5.19E-04
MAG-109	15	0.361904762	951.665243	5.66E-04
MAG-112	16	0.491666667	135.777347	5.41E-04
MAG-113	16	0.466666667	230.0466917	5.44E-04
MAG-114	1		0	4.51E-04
MAG-115	6	0.266666667	544.8219866	5.45E-04
MAG-121	2	1	0	5.04E-04
MAG-123	15	0.2	1627.616281	5.69E-04
MAG-125	9	0.583333333	75.83805916	5.41E-04
MAG-127	19	0.415204678	301.8525616	5.55E-04
MAG-128	10	0.444444444	156.8815016	5.49E-04
MAG-129	19	0.432748538	403.2488645	5.59E-04
MAG-13	18	0.39869281	286.1490737	5.49E-04
MAG-130	18	0.490196078	446.6231485	5.42E-04
MAG-131	1		0	4.73E-04
MAG-132	3	1	0	5.21E-04
MAG-133	9	0.75	17.30761102	5.23E-04
MAG-135	1		0	4.91E-04
MAG-136	8	0.392857143	184.4676892	5.47E-04
MAG-137	5	0.4	36.28039281	5.17E-04
MAG-139	5	1	0	4.48E-05
MAG-141	10	0.644444444	32.4107903	5.20E-04
MAG-142	9	0.277777778	270.8137084	5.51E-04
MAG-143	18	0.45751634	235.5365869	5.57E-04
MAG-144	11	0.436363636	291.202479	5.58E-04
MAG-145	3	0.333333333	32.77596414	5.31E-04
MAG-147	8	0.678571429	6.563628503	5.37E-04
MAG-148	2	0	27.8400814	5.19E-04
MAG-150	9	0.916666667	1.513683349	5.06E-04
MAG-151	5	0.4	104.5008722	5.45E-04
MAG-154	5	0.6	483	4.88E-04
MAG-156	4	0.333333333	253.2748704	5.15E-04
MAG-157	6	0.733333333	4.041030916	5.18E-04
MAG-158	7	0.666666667	20.2575764	5.41E-04
MAG-159	5	0.5	81.47330473	5.12E-04
MAG-160	12	0.696969697	23.36193258	5.26E-04
MAG-161	4	0.5	7.671868611	5.13E-04
MAG-162	5	1	0	4.48E-05
MAG-163	12	0.5	32.26688691	5.40E-04
MAG-164	6	0.733333333	2	4.48E-05
MAG-165	2	0	142	4.72E-04
MAG-167	6	0.4	316.2371169	5.21E-04
MAG-169	16	0.45	246.5186036	5.46E-04
MAG-170	15	0.352380952	359.1440734	5.43E-04
MAG-171	4	1	0	4.57E-04
MAG-172	11	0.472727273	59.41016226	5.44E-04
MAG-175	9	0.527777778	283.3459368	5.49E-04
MAG-176	8	0.714285714	24.42442119	5.31E-04
MAG-177	9	0.833333333	32.17502248	5.16E-04
MAG-178	2	1	0	4.47E-05
MAG-179	5	0.4	472.7731145	5.29E-04
MAG-18	15	0.638095238	45.5248145	5.22E-04
MAG-180	5	0.5	38.55128162	5.18E-04
MAG-181	11	0.581818182	189.3588346	5.52E-04
MAG-183	7	0.571428571	29.40452697	5.36E-04
MAG-186	16	0.4	354.0805425	5.42E-04
MAG-189	5	0.4	358.827569	5.24E-04
MAG-19	11	0.418181818	387.7606249	5.42E-04
MAG-190	1		0	5.08E-04
MAG-192	12	0.560606061	265.3601667	5.43E-04
MAG-193	4	0.5	63.11414309	4.98E-04
MAG-196	15	0.485714286	212.6361664	5.54E-04
MAG-197	11	0.563636364	70.47569242	5.36E-04
MAG-2	15	0.104761905	1544.770027	5.68E-04
MAG-20	15	0.523809524	189.0991364	5.51E-04
MAG-200	6	0.333333333	149.5162622	5.24E-04
MAG-201	8	0.785714286	13.42225109	5.26E-04
MAG-203	5	0.3	123.9465432	5.45E-04
MAG-204	1		0	4.42E-04
MAG-205	2	0	142	4.72E-04
MAG-206	4	1	0	5.14E-04
MAG-21	6	0.8	2.253565449	5.08E-04
MAG-210	3	0.333333333	93.8425551	5.24E-04
MAG-211	3	1	0	5.05E-04
MAG-214	7	0.666666667	142.2575758	5.07E-04
MAG-215	15	0.495238095	233.5906205	5.52E-04
MAG-219	1		0	4.33E-05
MAG-221	4	1	0	5.20E-04
MAG-222	9	0.694444444	42.49317877	5.32E-04
MAG-223	19	0.450292398	322.3134023	5.58E-04
MAG-224	16	0.483333333	226.9429203	5.31E-04
MAG-225	8	0.321428571	344.4307559	5.51E-04
MAG-228	2	0	69	4.87E-04
MAG-229	4	0.666666667	27.56367612	4.80E-04
MAG-23	1		0	5.11E-04
MAG-231	4	0.5	60.71572157	5.43E-04
MAG-232	4	1	0	4.57E-04
MAG-233	4	0.833333333	2.623115595	5.20E-04
MAG-235	1		0	4.33E-05
MAG-236	7	0.333333333	270.7131911	5.14E-04
MAG-237	15	0.628571429	76.75481843	5.26E-04
MAG-239	3	0.333333333	28.68803266	5.06E-04
MAG-240	5	0.2	619.3407981	5.37E-04
MAG-241	12	0.681818182	85.28169954	5.27E-04
MAG-244	4	0.5	68.30850706	4.95E-04
MAG-245	4	0.666666667	4.058373876	4.96E-04
MAG-248	6	0.733333333	3.521161616	5.33E-04
MAG-249	10	0.866666667	1.989873826	5.07E-04
MAG-25	5	0.5	64.36723819	5.19E-04
MAG-251	4	0.166666667	822.5	5.22E-04
MAG-252	11	0.618181818	131.3822218	5.50E-04
MAG-255	15	0.485714286	376.0249402	5.42E-04
MAG-256	3	0	77.20397484	5.27E-04
MAG-262	14	0.461538462	183.5247569	5.34E-04
MAG-263	6	0.333333333	655.4536992	5.34E-04
MAG-27	20	0.468421053	373.0606557	5.40E-04
MAG-28	5	0.6	120.930626	4.90E-04
MAG-29	10	0.488888889	295.8339516	5.37E-04
MAG-32	12	0.424242424	191.8627084	5.47E-04
MAG-34	17	0.389705882	490.6218697	5.53E-04
MAG-35	18	0.424836601	192.2090771	5.45E-04
MAG-36	3	0	155.3250577	4.82E-04
MAG-37	3	0.333333333	142	5.28E-04
MAG-38	5	0.6	3.5	4.57E-04
MAG-39	16	0.458333333	332.9567587	5.43E-04
MAG-41	22	0.350649351	826.8643587	5.60E-04
MAG-42	7	0.857142857	13.48909134	5.16E-04
MAG-44	18	0.509803922	185.0926598	5.38E-04
MAG-50	8	0.357142857	186.0533439	5.55E-04
MAG-52	13	0.461538462	486.4086597	5.55E-04
MAG-54	7	0.571428571	302.486647	5.48E-04
MAG-56	5	0.3	560	5.06E-04
MAG-57	9	0.277777778	216.0386174	5.59E-04
MAG-58	6	0.333333333	261.9071289	5.48E-04
MAG-60	5	0.5	460.6437965	5.34E-04
MAG-61	10	0.777777778	14.68642278	5.46E-04
MAG-66	4	0.833333333	7.494302162	4.89E-04
MAG-68	18	0.418300654	255.0785726	5.49E-04
MAG-7	17	0.5	116.7076562	5.35E-04
MAG-70	16	0.5	90.16949959	5.38E-04
MAG-71	5	0.6	64.82677382	5.32E-04
MAG-74	19	0.415204678	324.6022979	5.51E-04
MAG-76	13	0.538461538	116.2873406	5.34E-04
MAG-79	7	0.428571429	136.7112001	5.46E-04
MAG-8	5	0.4	35.03532302	5.36E-04
MAG-81	3	1	0	4.94E-04
MAG-82	2	1	0	5.03E-04
MAG-83	4	0.5	55.51691202	5.47E-04
MAG-87	2	1	0	4.58E-04
MAG-88	4	1	0	5.10E-04
MAG-89	4	1	0	4.57E-04
MAG-90	17	0.448529412	248.4070381	5.57E-04
MAG-92	4	0.833333333	0.299553984	5.25E-04
MAG-96	5	1	0	4.48E-05
MAG-99	9	0.194444444	912.6620696	5.48E-04
